reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-1171,Kukisyobu Prefectural Park,36.0543,139.646,PM96tb,JP-ST,63,59,1568,0,0
JP-1172,Yoshikawa Prefectural Park,35.911,139.873,PM95wv,JP-ST,68,64,2066,0,0
JP-1173,Misato Prefectural Park,35.7846,139.873,PM95ws,JP-ST,96,91,2069,0,0
JP-1174,Kawagoe Prefectural Park,35.9134,139.451,PM95rv,JP-ST,309,298,6085,0,0
JP-1175,Kodomo Dobutsu Prefectural Park,35.997,139.374,PM95qx,JP-ST,35,34,1014,0,0
JP-1176,Kitamoto Shizen Kansatsu Prefectural Park,36.0108,139.509,PM96sa,JP-ST,51,49,1528,0,0
JP-1177,Arakawa Oaso Prefectural Park,36.1434,139.349,PM96qd,JP-ST,67,64,2168,0,1
JP-1178,Sakitama Kofun Prefectural Park,36.1277,139.475,PM96rd,JP-ST,118,112,3255,0,0
JP-1179,Toda Prefectural Park,35.8017,139.676,PM95ut,JP-ST,92,90,2194,0,0
JP-1180,Tokorozawa Aviation Memorial Prefectural Park,35.7976,139.474,PM95rt,JP-ST,266,237,6289,0,0
JP-1181,Sayama Inariyama Prefectural Park,35.8475,139.397,PM95qu,JP-ST,93,87,1910,0,0
JP-1182,Yoro Keikoku Okukiyosumi Prefectural Nature Park,35.2517,140.163,QM05bg,JP-CH,26,24,792,0,0
JP-1183,Kujukuri Prefectural Nature Park,35.4473,140.404,QM05ek,JP-CH,130,118,4730,0,0
JP-1184,Inba Tega Prefectural Nature Park,35.7566,140.189,QM05cs,JP-CH,492,467,16536,0,0
JP-1185,Takagoyama Prefectural Nature Park,35.198,139.993,PM95xe,JP-CH,72,65,3119,0,0
JP-1186,Mineoka Sankei Prefectural Nature Park,35.106,140.01,QM05ac,JP-CH,39,36,1073,0,0
JP-1187,Tomisan Prefectural Nature Park,35.0953,139.882,PM95wc,JP-CH,56,50,1399,0,0
JP-1188,Otone Prefectural Nature Park,35.9151,140.468,QM05fv,JP-CH,43,41,1443,0,0
JP-1189,Kasamori Tsurumai Prefectural Nature Park,35.3995,140.201,QM05cj,JP-CH,80,72,2492,0,0
JP-1190,Hagoromo Prefectural Park,35.6037,140.123,QM05bo,JP-CH,35,32,818,0,0
JP-1191,Aobanomori Prefectural Park,35.5965,140.141,QM05bo,JP-CH,110,103,2667,0,0
JP-1192,Chiba Central Sports Center Prefectural Park,35.6503,140.126,QM05bp,JP-CH,68,67,2223,0,0
JP-1193,Makuhari Seaside Prefectural Park,35.6446,140.043,QM05ap,JP-CH,93,90,2502,0,0
JP-1194,Gyoda Prefectural Park,35.7195,139.973,PM95xr,JP-CH,107,98,2114,0,0
JP-1195,Kashiwa no Ha Prefectural Park,35.8957,139.938,PM95xv,JP-CH,285,285,9756,0,1
JP-1196,Teganuma Shizen Fureai Greenway Prefectural Park,35.8572,140.041,QM05au,JP-CH,425,406,14489,0,0
JP-1197,Inbanuma Prefectural Park,35.7526,140.184,QM05cs,JP-CH,61,54,1524,0,0
JP-1198,Hokuso Hananooka Prefectural Park,35.789,140.124,QM05bs,JP-CH,38,38,938,0,0
JP-1199,Hasunuma Seaside Prefectural Park,35.5887,140.502,QM05go,JP-CH,36,35,1314,0,0
JP-1200,Chosei no mori Prefectural Park,35.4547,140.267,QM05dk,JP-CH,37,36,980,0,0
JP-1201,Tateyama Sports Prefectural Park,34.9611,139.853,PM94wx,JP-CH,31,31,788,0,0
JP-1202,Futtsu Prefectural Park,35.3111,139.803,PM95vh,JP-CH,107,101,2964,0,0
JP-1203,Yachiyo Prefectural Park,35.7304,140.112,QM05br,JP-CH,52,47,1233,0,0
JP-1204,Takiyama Nature Prefectural Nature Park,35.7009,139.332,PM95pq,JP-TK,163,156,6998,0,2
JP-1205,Takao Jinba Prefectural Nature Park,35.6506,139.221,PM95op,JP-TK,185,149,6660,0,5
JP-1206,Tama Kyuryo Prefectural Nature Park,35.6601,139.41,PM95qp,JP-TK,920,798,36870,0,8
JP-1207,Sayama Nature Prefectural Nature Park,35.7607,139.438,PM95rs,JP-TK,462,426,17081,0,1
JP-1208,Hamura Kusabana Kyuryo Prefectural Nature Park,35.7554,139.309,PM95ps,JP-TK,191,162,8365,0,1
JP-1209,Akigawa Kyuryo Prefectural Nature Park,35.7138,139.273,PM95pr,JP-TK,156,141,6462,0,0
JP-1211,Kyu Shiba Rikyu Garden Prefectural Park,35.6547,139.758,PM95vp,JP-TK,117,105,1868,0,0
JP-1212,Kyu-Furukawa Gardens Prefectural Park,35.7422,139.746,PM95ur,JP-TK,44,43,651,0,0
JP-1213,Kiyosumi Gardens Prefectural Park,35.6807,139.797,PM95vq,JP-TK,154,142,2886,0,0
JP-1214,Koishikawa-Korakuen Gardens Prefectural Park,35.7054,139.749,PM95uq,JP-TK,98,89,1549,0,0
JP-1215,Tonogayato Gardens Prefectural Park,35.6986,139.482,PM95rq,JP-TK,122,118,1715,0,0
JP-1216,Hama-rikyu Gardens Prefectural Park,35.6596,139.763,PM95vp,JP-TK,102,97,1980,0,0
JP-1217,Mukojima-Hyakkaen Gardens Prefectural Park,35.7241,139.815,PM95vr,JP-TK,53,53,801,0,0
JP-1218,Rikugi-en Gardens Prefectural Park,35.7332,139.746,PM95ur,JP-TK,60,58,911,0,0
JP-1219,Aoyama Prefectural Park,35.6633,139.724,PM95up,JP-TK,342,332,7799,0,0
JP-1220,Akatsuka Prefectural Park,35.7848,139.657,PM95ts,JP-TK,117,112,2731,0,0
JP-1221,Ueno Prefectural Park,35.7155,139.774,PM95vr,JP-TK,863,764,14836,0,0
JP-1222,Ukita Prefectural Park,35.6744,139.861,PM95wq,JP-TK,71,57,1104,0,0
JP-1223,Ukima Prefectural Park,35.7938,139.693,PM95ut,JP-TK,98,77,1771,0,0
JP-1224,Oizumi-Chuo Prefectural Park,35.775,139.599,PM95ts,JP-TK,109,105,2697,0,0
JP-1225,Ojima Komatsugawa Prefectural Park,35.6928,139.85,PM95wq,JP-TK,143,109,2429,0,0
JP-1226,Ogunohara Prefectural Park,35.7512,139.776,PM95vs,JP-TK,190,183,3731,0,0
JP-1227,Kasai Rinkai Prefectural Park,35.6407,139.86,PM95wp,JP-TK,144,125,2753,0,0
JP-1228,Kameido Chuo Prefectural Park,35.7005,139.836,PM95wq,JP-TK,88,74,1456,0,0
JP-1229,Kinuta Prefectural Park,35.6303,139.62,PM95tp,JP-TK,136,126,3658,0,0
JP-1230,Kiba Prefectural Park,35.6745,139.809,PM95vq,JP-TK,267,234,5189,0,0
JP-1231,Komazawa Olympic Prefectural Park,35.6257,139.662,PM95tp,JP-TK,151,127,3333,0,0
