reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-1362,Toyanogata Prefectural Park,37.8802,139.042,PM97mv,JP-NI,23,18,521,0,0
JP-1363,Shimami Ryokuchi Prefectural Park,37.9703,139.206,PM97ox,JP-NI,21,21,444,0,0
JP-1364,Shiunji Kinen Prefectural Park,38.0359,139.297,PM98pa,JP-NI,24,21,650,0,0
JP-1365,Seiro Ryokuchi Prefectural Park,37.9958,139.258,PM97px,JP-NI,23,20,642,0,0
JP-1366,Niigata Prefectural Botanical Garden Prefectural Park,37.7607,139.113,PM97ns,JP-NI,12,12,356,0,0
JP-1367,Okutadami Recreation City Prefectural Park,37.1646,138.936,PM97ld,JP-NI,29,29,1002,0,0
JP-1368,Ogata Mizu to Mori Prefectural Park,37.2309,138.35,PM97ef,JP-NI,16,16,390,0,0
JP-1369,Asahi Prefectural Nature Park,36.8561,137.675,PM86uu,JP-TY,22,22,657,0,0
JP-1370,Arimine Prefectural Nature Park,36.4909,137.456,PM86rl,JP-TY,8,8,291,0,0
JP-1371,Gokayama Prefectural Nature Park,36.4133,136.88,PM86kj,JP-TY,12,12,476,0,0
JP-1372,Shiraki Mizunashi Prefectural Nature Park,36.4333,137.082,PM86mk,JP-TY,11,11,289,0,0
JP-1373,Iozen Prefectural Nature Park,36.5364,136.814,PM86jm,JP-TY,40,38,1114,0,0
JP-1374,Sogatake Prefectural Nature Park,36.7617,137.564,PM86ss,JP-TY,10,10,404,0,0
JP-1375,Toyama Athletic Recreation Prefectural Park,36.6264,137.197,PM86op,JP-TY,21,18,490,0,0
JP-1376,Gofuku Prefectural Park,36.6967,137.19,PM86oq,JP-TY,25,25,612,0,0
JP-1377,Iwase Sports Prefectural Park,36.743,137.239,PM86or,JP-TY,14,14,255,0,0
JP-1378,Joganjigawa Prefectural Park,36.6943,137.282,PM86pq,JP-TY,17,17,329,0,0
JP-1379,Kuko Sports Ryokuchi Prefectural Park,36.6467,137.19,PM86op,JP-TY,16,16,349,0,0
JP-1380,Fuganunga Kansui Prefectural Park,36.7094,137.212,PM86or,JP-TY,18,18,402,0,0
JP-1381,Shinko no Mori Prefectural Park,36.7689,137.09,PM86ns,JP-TY,14,14,283,0,0
JP-1382,Taikoyama Land Prefectural Park,36.6915,137.105,PM86nq,JP-TY,12,12,297,0,0
JP-1383,Yamanaka Dainichisan Prefectural Nature Park,36.2002,136.419,PM86fe,JP-IS,18,18,608,0,0
JP-1384,Shishiku Tedori Prefectural Nature Park,36.4459,136.648,PM86hk,JP-IS,31,30,780,0,0
JP-1385,Goishigamine Prefectural Nature Park,36.9205,136.891,PM86kw,JP-IS,19,19,681,0,0
JP-1386,Hakusan Ichirino Prefectural Nature Park,36.2287,136.766,PM86jf,JP-IS,19,17,511,0,0
JP-1387,Iozen Prefectural Nature Park,36.5372,136.8,PM86jm,JP-IS,80,70,2831,0,0
JP-1388,Kenmin Kaihin Prefectural Park,36.5926,136.583,PM86go,JP-IS,30,29,753,0,0
JP-1389,Kibagata Prefectural Park,36.3671,136.45,PM86fi,JP-IS,28,28,774,0,0
JP-1390,Hakusanroku Theme Prefectural Park,36.3812,136.613,PM86hj,JP-IS,27,24,672,0,0
JP-1391,Noto Rekishi Prefectural Park,36.9592,136.971,PM86lx,JP-IS,17,17,489,0,0
JP-1392,Hokubu Prefectural Park,36.6273,136.693,PM86ip,JP-IS,38,36,943,0,0
JP-1393,Kanazawajo Prefectural Park,36.5663,136.66,PM86hn,JP-IS,9,7,186,0,0
JP-1394,Okuutatsuyama Kenmin Prefectural Park,36.5602,136.697,PM86in,JP-IS,41,39,1031,0,0
JP-1395,Awazu Prefectural Park,36.3549,136.42,PM86fi,JP-IS,20,19,527,0,0
JP-1396,Matto Seaside Prefectural Park,36.5396,136.533,PM86gm,JP-IS,35,34,972,0,0
JP-1397,Seibu Ryokuchi Prefectural Park,36.5751,136.603,PM86hn,JP-IS,49,47,1223,0,0
JP-1398,Tedori Prefectural Park,36.4847,136.479,PM86fl,JP-IS,39,37,1034,0,0
JP-1399,Honda no Mori Prefectural Park,36.5592,136.662,PM86hn,JP-IS,10,8,146,0,0
JP-1400,Kenrokuen Prefectural Park,36.5619,136.662,PM86hn,JP-IS,8,5,105,0,0
JP-1401,Ishikawa Shikou Kinen Prefectural Park,36.5629,136.655,PM86hn,JP-IS,5,5,84,0,0
JP-1402,Kuratsuki Central Prefectural Park,36.5922,136.625,PM86ho,JP-IS,6,6,155,0,0
JP-1403,Saigawa Ryokuchi Prefectural Park,36.5429,136.671,PM86in,JP-IS,42,34,896,0,0
JP-1404,Onominato Ryokuchi Prefectural Park,36.5957,136.598,PM86ho,JP-IS,32,31,780,0,0
JP-1405,Okuetsu Kogen Prefectural Nature Park,36.0035,136.596,PM86ha,JP-FI,35,35,1097,0,0
JP-1406,Wakasa no Sato Prefectural Park,35.484,135.786,PM75vl,JP-FI,16,16,468,0,0
JP-1407,Fukui Shonen Undo Prefectural Park,36.052,136.187,PM86cb,JP-FI,17,15,475,0,0
JP-1408,Rinkai Chuo Prefectural Park,36.1678,136.112,PM86be,JP-FI,21,19,560,0,0
JP-1409,Echizen Togei Prefectural Park,35.935,136.06,PM85aw,JP-FI,22,22,668,0,0
JP-1410,Fukui Toshi Ryokka Shokubutsuen Prefectural Park,36.1061,136.305,PM86dc,JP-FI,34,33,893,0,0
JP-1411,Wakasa Sogo Prefectural Park,35.5159,135.756,PM75vm,JP-FI,20,19,554,0,0
JP-1412,Okuetsu Fureai Prefectural Park,35.9653,136.497,PM85fx,JP-FI,15,15,652,0,0
JP-1413,Trim Park Kanazu Prefectural Park,36.2175,136.25,PM86df,JP-FI,27,26,932,0,0
JP-1414,Tannan Sogo Prefectural Park,35.9288,136.154,PM85bw,JP-FI,22,20,663,0,0
JP-1415,Fukui Sogo Prefectural Park,36.1896,136.133,PM86be,JP-FI,19,18,468,0,0
JP-1416,Sanrihama Kansho Ryokuchi Prefectural Park,36.1857,136.134,PM86be,JP-FI,26,25,901,0,0
JP-1417,Fukui Joshi Prefectural Park,36.0655,136.221,PM86cb,JP-FI,13,13,456,0,0
JP-1418,Senbon Matsubara Prefectural Nature Park,35.1461,136.669,PM85id,JP-GF,142,132,3292,0,0
JP-1419,Ibi Prefectural Nature Park,35.6382,136.487,PM85fp,JP-GF,47,43,2410,0,0
JP-1420,Okuhida Sugo Nagareha Prefectural Nature Park,36.3082,137.246,PM86oh,JP-GF,24,19,571,0,0
JP-1421,Utsue Shijuhattaki Prefectural Nature Park,36.1971,137.161,PM86ne,JP-GF,19,19,584,0,0
JP-1422,Enakyo Prefectural Nature Park,35.4813,137.407,PM85ql,JP-GF,53,51,2580,0,0
JP-1423,Enasan Prefectural Nature Park,35.4444,137.591,PM85tk,JP-GF,47,41,2216,0,0
JP-1424,Urakiso Prefectural Nature Park,35.6981,137.442,PM85rq,JP-GF,26,24,1057,0,0
JP-1425,Ibuki Prefectural Nature Park,35.4185,136.433,PM85fk,JP-GF,42,39,1774,0,0
JP-1426,Toki Mikuniyama Prefectural Nature Park,35.2546,137.191,PM85og,JP-GF,86,83,3523,0,0
JP-1427,Kuraiyama Funayama Prefectural Nature Park,36.0379,137.199,PM86oa,JP-GF,19,18,982,0,0
JP-1428,Okunagaragawa Prefectural Nature Park,35.9595,136.818,PM85jx,JP-GF,54,51,2756,0,0
JP-1429,Nomugi Prefectural Nature Park,36.0525,137.603,PM86tb,JP-GF,13,13,632,0,0
JP-1430,Seseragi Keikoku Prefectural Nature Park,36.0262,137.07,PM86ma,JP-GF,17,16,578,0,0
JP-1431,Amo Prefectural Nature Park,36.2523,136.963,PM86lg,JP-GF,8,8,200,0,0
JP-1432,Ontakesan Prefectural Nature Park,35.9026,137.464,PM85rv,JP-GF,18,17,585,0,0
JP-1433,Yoro Prefectural Park,35.2823,136.549,PM85gg,JP-GF,40,35,1323,0,0
JP-1434,Gifuken Hyakunen Prefectural Park,35.4792,136.87,PM85kl,JP-GF,30,27,873,0,0
JP-1435,GIFU WORLD ROSE GARDEN Prefectural Park,35.4199,137.096,PM85nk,JP-GF,29,29,977,0,0
JP-1436,Gifu Memorial Center Prefectural Park,35.4428,136.763,PM85jk,JP-GF,28,27,599,0,0
JP-1437,Kakamigahara Prefectural Park,35.4247,136.934,PM85lk,JP-GF,27,27,753,0,0
JP-1438,Gifu World Fresh Water Aquarium Prefectural Park,35.3711,136.809,PM85ji,JP-GF,52,52,1585,0,0
JP-1439,Gifu Seiryu Satoyama Prefectural Park,35.4746,137.034,PM85ml,JP-GF,38,36,1222,0,0
JP-1440,Nihondaira Prefectural Nature Park,34.9749,138.466,PM94fx,JP-SZ,312,294,12434,0,0
JP-1441,Okuoi Prefectural Nature Park,35.1816,138.111,PM95be,JP-SZ,36,35,1181,0,0
JP-1442,Omaezaki Enshunada Prefectural Nature Park,34.5956,138.226,PM94co,JP-SZ,95,94,3654,0,0
JP-1443,Hamanako Prefectural Nature Park,34.6951,137.595,PM84tq,JP-SZ,72,67,2928,0,0
JP-1444,Ashitaka Koiki Prefectural Park,35.1567,138.852,PM95kd,JP-SZ,47,43,1265,0,0
JP-1445,Mt. Fuji Children's World Prefectural Park,35.2555,138.772,PM95jg,JP-SZ,30,29,995,0,0
JP-1446,Yoshida Prefectural Park,34.7661,138.285,PM94ds,JP-SZ,61,57,1996,0,0
JP-1447,Sekijin no Hoshi Prefectural Park,34.6687,137.748,PM84uq,JP-SZ,37,37,1254,0,0
JP-1448,Hamanako Garden Prefectural Park,34.7139,137.602,PM84tr,JP-SZ,35,34,876,0,0
JP-1449,Shizuoka Pre. Forest Prefectural Park,34.8461,137.782,PM84vu,JP-SZ,37,37,1369,0,0
JP-1450,Kusanagi Sports Complex Prefectural Park,34.989,138.429,PM94fx,JP-SZ,104,94,3004,0,0
JP-1451,Ogasayama Sports Prefectural Park,34.7439,137.969,PM84xr,JP-SZ,53,50,1646,0,0
JP-1452,Atsumi Hanto Prefectural Nature Park,34.6071,137.097,PM84no,JP-AI,82,70,2566,0,0
JP-1453,Minami Chita Prefectural Nature Park,34.7478,136.9,PM84kr,JP-AI,187,167,6535,0,0
JP-1454,Dando Kogen Prefectural Nature Park,35.1443,137.49,PM85rd,JP-AI,49,48,1818,0,0
JP-1455,Furikusa Keikoku Prefectural Nature Park,35.0769,137.665,PM85tb,JP-AI,33,33,1565,0,0
JP-1456,Hongusan Prefectural Nature Park,34.9083,137.421,PM84rv,JP-AI,123,102,2978,0,0
JP-1457,Sakurabuchi Prefectural Nature Park,34.8957,137.506,PM84sv,JP-AI,72,70,1754,0,0
JP-1458,Ishimakisan Tame Prefectural Nature Park,34.789,137.461,PM84rs,JP-AI,118,74,2763,0,0
JP-1459,Atsuta Jingu Prefectural Park,35.1309,136.902,PM85kd,JP-AI,335,316,7940,0,0
JP-1460,Odaka Ryokuchi Prefectural Park,35.0602,136.956,PM85lb,JP-AI,277,263,7459,0,1
JP-1461,Obata Ryokuchi Prefectural Park,35.2196,136.988,PM85lf,JP-AI,608,601,16071,0,0
JP-1463,Shinshiro General Prefectural Park,34.9371,137.542,PM84sw,JP-AI,66,63,1702,0,0
JP-1464,Kisogawa Sobue Ryokuchi Prefectural Park,35.2606,136.706,PM85ig,JP-AI,92,88,2321,0,0
JP-1465,Owari Koiki Ryokudo Prefectural Park,35.3011,136.956,PM85lh,JP-AI,143,143,4432,0,0
JP-1466,Aichi Health Village Prefectural Park,34.9987,136.948,PM84lx,JP-AI,226,214,5635,0,0
JP-1467,Makinogaike Greens Prefectural Park,35.1451,137.014,PM85md,JP-AI,124,121,3783,0,0
JP-1468,Higashi-mikawa Furusato Prefectural Park,34.8387,137.308,PM84pu,JP-AI,347,324,6198,0,0
JP-1469,Expo 2005 Aichi Commemorative Prefectural Park,35.1728,137.09,PM85ne,JP-AI,73,69,1585,0,0
JP-1470,Aburagafuchi Waterside Prefectural Park,34.9067,137.008,PM84mv,JP-AI,450,428,10250,0,0
JP-1471,Suigo Prefectural Nature Park,35.1304,136.668,PM85id,JP-ME,244,224,6187,0,1
JP-1472,Ise no Umi Prefectural Nature Park,34.7082,136.523,PM84gq,JP-ME,302,280,5602,0,0
JP-1473,Akame Ichishikyo Prefectural Nature Park,34.5608,136.268,PM84dn,JP-ME,62,53,1747,0,0
JP-1474,Kahadakyo Prefectural Nature Park,34.3788,136.21,PM84cj,JP-ME,30,29,1082,0,0
JP-1475,Okuise Miyagawakyo Prefectural Nature Park,34.2864,136.196,PM84cg,JP-ME,33,31,1256,0,0
JP-1476,Hokusei Central Prefectural Park,35.065,136.546,PM85gb,JP-ME,80,77,1791,0,0
JP-1477,Suzuka Seishonen no Mori Prefectural Park,34.8533,136.539,PM84gu,JP-ME,57,54,1056,0,0
JP-1478,Kameyama Sunshine Prefectural Park,34.8675,136.412,PM84eu,JP-ME,66,62,1313,0,0
JP-1479,Daibutsuyama Prefectural Park,34.5169,136.654,PM84hm,JP-ME,45,42,1760,0,0
JP-1480,Kumanonada Rinkai Prefectural Park,34.2173,136.347,PM84ef,JP-ME,23,23,797,0,0
JP-1481,Isuzu Prefectural Park,34.4638,136.728,PM84il,JP-ME,31,29,803,0,0
JP-1483,Mikami Tanakami Shigaraki Prefectural Nature Park,35.0505,136.037,PM85ab,JP-SH,54,52,1827,0,0
JP-1484,Kutsuki Katsuragawa Prefectural Nature Park,35.2466,135.867,PM75wf,JP-SH,28,28,792,0,0
JP-1485,Koto Prefectural Nature Park,35.2344,136.3,PM85df,JP-SH,41,41,1115,0,0
JP-1486,Obanagawa Prefectural Park,35.0179,135.861,PM75wa,JP-SH,17,16,409,0,0
JP-1487,Biwako Bunka Prefectural Park,34.9698,135.94,PM74xx,JP-SH,32,30,928,0,0
JP-1488,Okubiwa Sports no Mori Prefectural Park,35.4118,136.21,PM85cj,JP-SH,43,40,1023,0,0
JP-1489,Kogan Ryokuchi Prefectural Park,35.3864,136.238,PM85cj,JP-SH,75,71,2310,0,0
JP-1490,Kasugayama Prefectural Park,35.1227,135.905,PM75wc,JP-SH,23,23,694,0,0
JP-1491,Biwako Chikyu Shimin no Mori Prefectural Park,35.1046,135.963,PM75xc,JP-SH,98,85,1784,0,0
JP-1492,Rurikei Prefectural Nature Park,35.0321,135.403,PM75qa,JP-KY,46,45,1980,0,0
JP-1493,Hozukyo Prefectural Nature Park,35.0229,135.639,PM75ta,JP-KY,24,24,888,0,0
JP-1494,Kasagiyama Prefectural Nature Park,34.7534,135.942,PM74xs,JP-KY,12,10,231,0,0
JP-1495,Arashiyama Prefectural Park,35.0146,135.671,PM75ua,JP-KY,16,15,274,0,0
JP-1496,Arashiyama Higashi Prefectural Park,35.0099,135.686,PM75ua,JP-KY,13,13,269,0,0
JP-1497,Kamogawa Prefectural Park,35.0406,135.764,PM75va,JP-KY,24,21,474,0,0
JP-1498,Fushimiko Prefectural Park,34.925,135.758,PM74vw,JP-KY,25,24,659,0,0
JP-1499,Rakusai Joka Center Prefectural Park,34.9079,135.708,PM74uv,JP-KY,21,21,685,0,0
JP-1500,Uji Prefectural Park,34.8891,135.809,PM74vv,JP-KY,12,12,422,0,0
JP-1501,Yamashiro Sogo Undo Prefectural Park,34.8726,135.802,PM74vu,JP-KY,22,22,739,0,0
JP-1502,Amanohashidate Prefectural Park,35.5643,135.188,PM75on,JP-KY,23,20,677,0,0
JP-1503,Tango Eco-Future Prefectural Park,35.6232,135.236,PM75oo,JP-KY,20,18,463,0,0
JP-1504,Kizugawa Undo Prefectural Park,34.8444,135.797,PM74vu,JP-KY,20,19,567,0,0
JP-1505,Keihanna Commemorative Prefectural Park,34.7468,135.775,PM74vr,JP-KY,25,25,656,0,0
JP-1506,Tamba Prefectural Park,35.1654,135.416,PM75qd,JP-KY,40,40,1665,0,0
JP-1507,Hokusetsu Prefectural Nature Park,34.9326,135.624,PM74tw,JP-OS,42,37,1411,0,0
JP-1508,Hannan Misaki Prefectural Nature Park,34.3068,135.223,PM74oh,JP-OS,16,15,317,0,0
JP-1509,Hattori Ryokuchi Prefectural Park,34.7763,135.487,PM74rs,JP-OS,82,60,1603,0,0
JP-1510,Neyagawa Prefectural Park,34.7613,135.652,PM74ts,JP-OS,27,27,960,0,0
JP-1511,Hiraoka Prefectural Park,34.674,135.655,PM74tq,JP-OS,42,34,871,0,0
JP-1512,Ishikawa Kasen Prefectural Park,34.5458,135.619,PM74tn,JP-OS,39,38,1042,0,0
JP-1513,Oizumi Ryokuchi Prefectural Park,34.5644,135.528,PM74sn,JP-OS,63,59,1917,0,0
JP-1514,Hamadera Prefectural Park,34.5393,135.439,PM74rm,JP-OS,103,100,2636,0,0
JP-1515,Rinku Prefectural Park,34.4121,135.295,PM74pj,JP-OS,64,59,1462,0,0
JP-1516,Tonboike Prefectural Park,34.4301,135.426,PM74rk,JP-OS,33,32,732,0,0
JP-1517,Sennan Satoumi Prefectural Park,34.3373,135.193,PM74oi,JP-OS,46,43,1269,0,0
JP-1518,Yamadaike Prefectural Park,34.8219,135.691,PM74ut,JP-OS,26,26,786,0,0
JP-1519,Mino Prefectural Park,34.847,135.472,PM74ru,JP-OS,24,22,362,0,0
JP-1520,Fukakita Ryokuchi Prefectural Park,34.7262,135.629,PM74tr,JP-OS,90,88,2645,0,0
JP-1521,Kyuhoji Ryokuchi Prefectural Park,34.6306,135.578,PM74sp,JP-OS,64,64,1592,0,0
JP-1522,Suminoe Prefectural Park,34.6113,135.476,PM74ro,JP-OS,190,187,3928,0,0
JP-1523,Sumiyoshi Prefectural Park,34.6124,135.488,PM74ro,JP-OS,136,133,2649,0,1
JP-1524,Nishikori Prefectural Park,34.4824,135.572,PM74sl,JP-OS,27,26,657,0,0
JP-1525,Nagano Prefectural Park,34.4479,135.574,PM74sk,JP-OS,51,47,1012,0,0
JP-1526,Nishiki no Hama Prefectural Park,34.4363,135.336,PM74qk,JP-OS,27,26,520,0,0
JP-1527,Izumisano Kyuryo Ryokuchi Prefectural Park,34.3674,135.331,PM74pi,JP-OS,26,26,525,0,0
JP-1528,Takirenzan Prefectural Nature Park,35.1238,135.242,PM75oc,JP-HG,49,45,1734,0,0
JP-1529,Inagawa Keikoku Prefectural Nature Park,35.01,135.312,PM75pa,JP-HG,80,78,3419,0,0
JP-1530,Kiyomizu Tojoko Tachikui Prefectural Nature Park,34.9272,135.068,PM74mw,JP-HG,61,60,1630,0,0
JP-1531,Asago Gunzan Prefectural Nature Park,35.2338,134.88,PM75kf,JP-HG,14,14,428,0,0
JP-1532,Onzui Chikusa Prefectural Nature Park,35.2397,134.517,PM75gf,JP-HG,16,16,434,0,0
JP-1533,Tajima Sangaku Prefectural Nature Park,35.5367,134.629,PM75hm,JP-HG,13,12,409,0,0
JP-1534,Seiban Kyuryo Prefectural Nature Park,34.892,134.657,PM74hv,JP-HG,52,51,1537,0,0
JP-1535,Izushi Itoi Prefectural Nature Park,35.3986,134.91,PM75kj,JP-HG,19,16,422,0,0
JP-1536,Harima Chubu Kyuryo Prefectural Nature Park,34.8403,134.896,PM74ku,JP-HG,44,43,1174,0,0
JP-1537,Seppiko Mineyama Prefectural Nature Park,35.0633,134.666,PM75hb,JP-HG,16,15,473,0,0
JP-1538,Kasagatayama Sengamine Prefectural Nature Park,35.0636,134.835,PM75kb,JP-HG,16,15,388,0,0
JP-1539,Awajishima Prefectural Park,34.576,135.007,PM74mn,JP-HG,22,21,531,0,0
JP-1540,Arima Fuji Prefectural Park,34.9134,135.224,PM74ov,JP-HG,69,67,1925,0,0
JP-1542,Akashi Prefectural Park,34.6567,134.994,PM74lp,JP-HG,35,32,653,0,0
JP-1544,Ako Seaside Prefectural Park,34.7338,134.397,PM74er,JP-HG,28,28,852,0,0
JP-1545,Takasago Seaside Prefectural Park,34.7347,134.803,PM74jr,JP-HG,22,21,578,0,0
JP-1546,Kabutoyama Forest Prefectural Park,34.7724,135.335,PM74qs,JP-HG,131,112,2823,0,0
JP-1547,Mikiyama Forest Prefectural Park,34.7882,134.989,PM74ls,JP-HG,80,77,1938,0,0
JP-1548,Hyogo Park of the Oriental White Stork Prefectural Park,35.5512,134.854,PM75kn,JP-HG,12,12,289,0,0
JP-1549,Hitokura Prefectural Park,34.9145,135.419,PM74rv,JP-HG,68,66,3050,0,0
JP-1550,Tajima Bokujyo Prefectural Park,35.5165,134.488,PM75fm,JP-HG,12,12,400,0,0
JP-1551,Harima Central Prefectural Park,34.9376,134.939,PM74lw,JP-HG,70,66,1676,0,0
JP-1552,Ball Park Awaji Prefectural Park,34.4544,134.929,PM74lk,JP-HG,26,25,483,0,0
JP-1553,Flower Center Prefectural Park,34.9083,134.861,PM74kv,JP-HG,41,40,849,0,0
JP-1554,Yata Prefectural Nature Park,34.6627,135.737,PM74up,JP-NR,33,33,871,0,0
JP-1555,Tsukigase Konosan Prefectural Nature Park,34.6696,135.998,PM74xq,JP-NR,35,33,963,0,0
JP-1556,Yoshinogawa Tsuburo Prefectural Nature Park,34.3994,135.891,PM74wj,JP-NR,176,174,2981,0,0
JP-1557,Nara Prefectural Park,34.6847,135.843,PM74wq,JP-NR,27,24,486,0,0
JP-1558,Umami Kyuryo Prefectural Park,34.5626,135.737,PM74un,JP-NR,66,57,1302,0,0
JP-1559,Obuchiike Prefectural Park,34.708,135.747,PM74uq,JP-NR,41,37,777,0,0
JP-1560,Mahoroba Kenko Prefectural Park,34.5975,135.783,PM74vo,JP-NR,55,55,1215,0,0
JP-1561,Tatsuta Prefectural Park,34.6021,135.718,PM74uo,JP-NR,38,38,736,0,0
JP-1562,Yamato Minzoku Prefectural Park,34.6537,135.753,PM74vp,JP-NR,31,30,576,0,0
JP-1563,Kashihara Prefectural Park,34.4913,135.792,PM74vl,JP-NR,48,46,826,0,0
JP-1565,Uda Animal Prefectural Park,34.4891,135.932,PM74xl,JP-NR,19,17,378,0,0
JP-1566,Nara Palace Site Historical Prefectural Park,34.6866,135.793,PM74vq,JP-NR,49,42,774,0,0
JP-1567,Koyasan Choishimichi Tamagawakyo Prefectural Nature Park,34.2574,135.651,PM74tg,JP-WK,17,17,386,0,0
JP-1568,Ryumonzan Prefectural Nature Park,34.2482,135.413,PM74qf,JP-WK,10,10,228,0,0
JP-1569,Oishi Kogen Prefectural Nature Park,34.1065,135.327,PM74pc,JP-WK,26,23,1193,0,0
JP-1570,Nishi Arida Prefectural Nature Park,34.0497,135.148,PM74nb,JP-WK,10,10,387,0,0
JP-1571,Shirasaki Kaigan Prefectural Nature Park,33.977,135.068,PM73mx,JP-WK,9,9,375,0,0
JP-1572,Enju Kaigan Prefectural Nature Park,33.8903,135.129,PM73nv,JP-WK,16,16,779,0,0
JP-1573,Jogamori Hokodai Prefectural Nature Park,34.0363,135.508,PM74sa,JP-WK,13,12,270,0,0
JP-1574,Hatenashi Sanmyaku Prefectural Nature Park,33.9026,135.689,PM73uv,JP-WK,5,5,223,0,0
JP-1575,Hikigawa Prefectural Nature Park,33.7361,135.573,PM73sr,JP-WK,9,8,237,0,0
JP-1576,Shiramisan Wadagawakyo Prefectural Nature Park,33.7596,135.878,PM73ws,JP-WK,7,5,156,0,0
JP-1577,Kozagawa Prefectural Nature Park,33.5453,135.721,PM73un,JP-WK,10,9,346,0,0
JP-1578,Kimiidera Prefectural Park,34.1665,135.191,PM74od,JP-WK,21,21,530,0,0
JP-1579,Kasei Prefectural Park,34.2474,135.125,PM74nf,JP-WK,31,29,729,0,0
JP-1580,Waka Prefectural Park,34.1813,135.174,PM74oe,JP-WK,29,28,983,0,0
JP-1581,Misasa Togoko Prefectural Nature Park,35.4654,133.891,PM65wl,JP-TT,21,20,602,0,0
JP-1582,Okuhino Prefectural Nature Park,35.2037,133.314,PM65pe,JP-TT,11,10,426,0,0
JP-1583,Nishi Inaba Prefectural Nature Park,35.5342,134.007,PM75am,JP-TT,10,10,237,0,0
JP-1585,Lake Togo Hawai Seaside Prefectural Park,35.4919,133.886,PM65wl,JP-TT,16,15,466,0,0
JP-1587,Fuse Sports Prefectural Park,35.4991,134.182,PM75cl,JP-TT,19,19,497,0,0
JP-1589,Kiyomizu Gassan Prefectural Nature Park,35.3612,133.185,PM65oi,JP-SM,12,12,361,0,0
JP-1590,Oni no Shitaburui Prefectural Nature Park,35.1749,133.018,PM65me,JP-SM,13,13,375,0,0
JP-1591,Shinjiko Kitayama Prefectural Nature Park,35.4462,132.867,PM65kk,JP-SM,30,23,716,0,0
JP-1592,Tachikuekyo Prefectural Nature Park,35.2955,132.735,PM65ih,JP-SM,18,18,501,0,0
JP-1593,Ryuzu Yaedaki Prefectural Nature Park,35.1558,132.809,PM65jd,JP-SM,20,20,960,0,0
JP-1594,Gokawa Suikei Prefectural Nature Park,35.0409,132.6,PM65ha,JP-SM,26,24,1071,0,0
JP-1595,Dangyokei Kannondaki Prefectural Nature Park,34.9302,132.472,PM64fw,JP-SM,18,18,1430,0,0
JP-1596,Senjokei Prefectural Nature Park,34.9208,132.342,PM64ew,JP-SM,16,16,586,0,0
JP-1597,Hamada Kaigan Prefectural Nature Park,34.9473,132.109,PM64bw,JP-SM,42,35,1601,0,0
JP-1598,Banryuko Prefectural Nature Park,34.6806,131.807,PM54vq,JP-SM,35,34,1593,0,0
JP-1599,Aonoyama Prefectural Nature Park,34.4646,131.8,PM54vl,JP-SM,20,18,1063,0,0
JP-1600,Hamayama Prefectural Park,35.3788,132.707,PM65ij,JP-SM,21,18,390,0,0
JP-1601,Iwami Seaside Prefectural Park,34.9579,132.144,PM64bw,JP-SM,45,37,1662,0,0
JP-1602,Manyo Prefectural Park,34.679,131.814,PM54vq,JP-SM,34,33,1391,0,0
JP-1603,Takahashigawa Joryu Prefectural Nature Park,34.9724,133.584,PM64tx,JP-OY,21,19,589,0,0
JP-1604,Kibi Shiseki Prefectural Nature Park,34.7285,133.766,PM64vr,JP-OY,48,46,1021,0,0
JP-1605,Yubara Okutsu Prefectural Nature Park,35.2079,133.732,PM65ue,JP-OY,19,19,742,0,0
JP-1606,Kibiji Fudoki no Oka Prefectural Nature Park,34.6682,133.782,PM64vq,JP-OY,39,39,720,0,0
JP-1607,Bisaku Sanchi Prefectural Nature Park,35.122,133.537,PM65sc,JP-OY,9,9,251,0,0
JP-1608,Kibi Seiryu Prefectural Nature Park,34.8635,133.904,PM64wu,JP-OY,94,74,1955,0,0
JP-1609,Yoshiigawa Churyu Prefectural Nature Park,34.932,134.212,PM74cw,JP-OY,22,22,784,0,0
JP-1610,Okayama Prefectural Multipurpose Grounds Prefectural Park,34.6787,133.917,PM64xq,JP-OY,32,31,789,0,0
JP-1611,Korakuen Prefectural Park,34.6678,133.936,PM64xq,JP-OY,22,22,556,0,0
JP-1612,Kurashiki Sports Prefectural Park,34.6193,133.805,PM64vo,JP-OY,129,129,2644,0,0
JP-1613,Mizushima Ryokuchi Prefectural Park,34.5305,133.749,PM64um,JP-OY,110,110,2283,0,0
JP-1614,Nabarakyo Prefectural Nature Park,34.5643,132.513,PM64gn,JP-HS,9,9,316,0,0
JP-1615,Yamanokyo Prefectural Nature Park,34.6981,133.368,PM64qq,JP-HS,18,17,643,0,0
JP-1616,Mikuradake Prefectural Nature Park,34.3092,132.158,PM64bh,JP-HS,13,12,487,0,0
JP-1617,Chikurinji Yokurayama Prefectural Nature Park,34.4591,132.875,PM64kl,JP-HS,21,20,626,0,0
JP-1618,Buttsuji Mitsugi Hachimangu Prefectural Nature Park,34.4653,133.02,PM64ml,JP-HS,18,15,441,0,0
JP-1619,kannosekyo Prefectural Nature Park,34.9971,132.802,PM64jx,JP-HS,13,11,426,0,0
JP-1620,Hiroshimaken Sogo Ground Prefectural Park,34.3755,132.423,PM64fj,JP-HS,23,22,527,0,0
JP-1621,Shukkeien Garden Prefectural Park,34.3997,132.467,PM64fj,JP-HS,14,14,252,0,0
