0.039312	0.491400	_1
1.030303	1.303849	_2
1.784603	2.120000	_3
2.912367	3.190000	_4
3.850123	4.040000	_5
4.405405	4.721540	_6
5.112203	5.395577	_7
5.717445	6.131859	_8
6.639640	6.926290	_9
7.480753	7.820573	_0
7.944308	8.285012	1
9.054426	9.333637	2
9.869900	10.259910	3
10.682051	11.066520	4
11.540736	11.988361	5
12.266464	12.914633	6
13.198277	13.685789	7
14.123441	14.581038	8
15.041958	15.453019	9
16.074597	16.455743	0
16.555461	17.098372	a
17.545997	18.111067	b
18.467837	18.987481	c
19.437321	19.862786	d
20.118730	20.536439	e
20.972984	21.943576	f
22.218355	22.723595	g
22.837717	23.362900	h
23.627708	24.253717	i
24.355651	25.116835	j
25.475821	25.829267	k
26.169417	26.551671	l
26.774375	27.266319	m
27.463540	28.146056	n
28.421944	28.946019	o
29.339353	29.748198	p
30.066189	30.624611	q
30.961438	31.426790	r
31.615147	32.194621	s
32.605682	33.125326	t
33.446640	34.123617	u
34.405045	34.941308	v
35.303618	35.951787	w
36.269778	37.064200	x
37.546172	38.138942	y
38.541140	39.027544	z
39.217009	39.516164	A
40.190924	40.481216	B
41.052934	41.427432	C
42.061197	42.374756	D
43.036221	43.407395	E
44.016785	44.434494	F
44.976297	45.376278	G
45.900354	46.364598	H
46.764579	47.070382	I
47.823810	48.244843	J
48.980542	49.302965	K
49.879115	50.201538	L
50.794308	51.190966	M
51.686233	52.045219	N
52.467649	52.847666	O
53.529075	53.828829	P
54.534808	54.823096	Q
55.337428	55.744472	R
56.205569	56.588862	S
57.176085	57.455364	T
58.194103	58.514333	U
59.352170	59.665848	V
60.327600	60.850123	W
61.293202	61.924652	X
62.321867	62.722359	Y
63.414414	63.884521	Z
64.107792	65.352193	_C
65.578280	66.304334	_c
66.550641	66.973406	_D
67.309781	68.646087	_A
68.870337	70.289358	_M
70.561399	71.776390	_H
71.871972	72.586078	/
